ID,X_happiness,X_gender,T_raw,Y_raw,T,Y
111001101,7,2,2,2,0,1
111001102,7,2,2,2,0,1
111001103,6,2,1,1,0,1
111001104,9,2,4,3,1,1
111001201,8,2,4,4,1,0
111001202,9,2,2,2,0,1
111001302,10,1,1,2,0,1
111001303,8,2,3,3,0,1
111001304,10,1,2,3,0,1
111001305,6,2,3,2,0,1
111001403,11,1,2,1,0,1
111001404,9,1,3,3,0,1
111001503,8,1,1,2,0,1
111001504,8,1,2,2,0,1
111001505,7,2,2,2,0,1
111002101,6,1,4,1,1,1
111002102,7,1,2,2,0,1
111002104,4,1,3,3,0,1
111002202,8,1,2,2,0,1
111002203,10,1,4,4,1,0
111002204,6,1,3,3,0,1
111002205,7,1,2,2,0,1
111002302,8,1,2,2,0,1
111002304,4,1,3,4,0,0
111002401,9,1,1,1,0,1
111002501,7,1,3,3,0,1
111002502,8,1,1,1,0,1
111002503,10,1,2,2,0,1
111002601,8,1,4,2,1,1
111002602,8,1,2,2,0,1
111002603,7,1,2,3,0,1
111002701,8,1,3,3,0,1
111002702,10,1,3,3,0,1
111002703,8,1,2,3,0,1
111002704,4,1,3,3,0,1
111003101,9,1,4,4,1,0
111003102,9,1,1,2,0,1
111003103,7,1,2,2,0,1
111003104,8,1,2,2,0,1
111003105,10,1,2,2,0,1
111003202,8,1,2,2,0,1
111003203,7,1,2,2,0,1
111003205,11,1,2,2,0,1
111003301,7,1,2,2,0,1
111003302,8,1,2,3,0,1
111003303,2,1,2,2,0,1
111003305,7,1,2,4,0,0
111003401,11,1,2,2,0,1
111003402,4,1,1,2,0,1
111003403,9,1,1,1,0,1
111003404,11,1,4,4,1,0
111003501,8,1,2,3,0,1
111003502,9,1,2,2,0,1
111003503,4,1,1,1,0,1
111003504,8,1,3,3,0,1
111003505,11,1,4,1,1,1
111004101,7,2,3,3,0,1
111004102,6,2,2,3,0,1
111004104,9,2,3,3,0,1
111004105,7,2,3,3,0,1
111004201,8,2,3,3,0,1
111004202,6,2,2,2,0,1
111004203,7,2,1,1,0,1
111004204,11,2,2,2,0,1
111004205,3,2,3,4,0,0
111004301,6,2,2,1,0,1
111004302,8,2,1,1,0,1
111004303,8,2,1,1,0,1
111004304,7,2,3,2,0,1
111004305,8,2,2,1,0,1
111004401,3,2,2,2,0,1
111004402,5,2,2,2,0,1
111004403,10,2,4,4,1,0
111004405,8,2,4,4,1,0
